title,isbn,pageCount,publishedDate,thumbnailUrl,shortDescription,longDescription,status,authors,categories
Flexible Rails,1933988509,592.0,2008-01-01 08:00:00+00:00,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/armstrong.jpg,"""""""Flexible Rails created a standard to which I hold other technical books. You definitely get your money's worth.""""""","""Rails is a fantastic tool for web application development, but its Ajax-driven interfaces stop short of the richness you gain with a tool like Adobe Flex. Simply put, Flex is the most productive way to build the UI of rich Internet applications, and Rails is the most productive way to rapidly build a database-backed CRUD application. Together, they're an amazing combination.    Flexible Rails is a book about how to use Ruby on Rails and Adobe Flex to build next-generation rich Internet applications (RIAs). The book takes you to the leading edge of RIA development, presenting examples in Flex 3 and Rails 2.    This book is not an exhaustive Ruby on Rails tutorial, nor a Flex reference manual. (Adobe ships over 3000 pages of PDF reference documentation with Flex.) Instead, it's an extensive tutorial, developed iteratively, how to build an RIA using Flex and Rails together. You learn both the specific techniques you need to use Flex and Rails together as well as the development practices that make the combination especially powerful.    The example application built in the book is MIT-licensed, so readers can use it as the basis for their own applications. In fact, one reader has already built an agile project management tool based on the book example!    With this book, you learn Flex by osmosis. You can read the book and follow along even if you have never used Flex before. Consider it """"Flex Immersion."""" You absorb the key concepts of Flex as you go through the process of building the application.    You will also learn how Flex and Rails integrate with HTTPService and XML",desconocido,including tips to use cairngorm in a less verbose way with httpservice to talk to rails. flexible rails is for both rails developers who are interested in flex,and flex developers who are interested in rails. for a rails developer
Hello! Flex 4,1933988762,258.0,2009-11-01 07:00:00+00:00,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/armstrong3.jpg,"Hello! Flex 4 progresses through 26 self-contained examples selected so you can progressively master Flex. They vary from small one-page apps, to a 3D rotating haiku, to a Connect Four-like game. And in the last chapter you'll learn to build a full Flex application called SocialStalkr   a mashup that lets you follow your friends by showing their tweets on a Yahoo map.","With Flex 4 you can easily add color and life to your web applications by introducing dynamic user features, slick transitions, and eye-catching animations. Flex also provides powerful data handling capabilities so you can build industrial-strength applications. And it's open source, so you can get started without forking over a lot of your hard-earned cash.    We think it should be just as much fun to learn Flex as it is to use Flex. Hello! Flex 4 shows you everything you need to know to get started with Flex 4 without bogging you down in obscure detail or academic edge cases. In this entertaining, hands-on book, you'll quickly move from Hello World into the techniques you'll need to use Flex effectively.    You'll start by progressing through 26 self-contained workshop items, which include everything from small one-page examples, to a 3D rotating haiku, to building a Connect Four game. Finally, in the last chapter you'll build a full Flex application called 'SocialStalkr': an interesting mashup of Twitter and Yahoo Maps that lets you 'stalk' your friends by showing specially formatted Twitter tweets on a Yahoo map.",PUBLISH,peter armstrong,internet
Coffeehouse,1884777384,316.0,1997-07-01 07:00:00+00:00,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/asher.jpg,"Coffeehouse is an anthology of stories, poems and essays originally published on the World Wide Web.","""Coffeehouse is an anthology of stories, poems and essays originally published on the World Wide Web. The purpose is to capture the zeitgeist of the web's creative community, and to give readers a chance to enjoy some of the best and most notable original works that have appeared in this form. It showcases over forty individual web writers, among them Joseph Squier, Martha Conway, Jason Snell, David Alexander, Carl Steadman and Walter Miller. The intent is to show the variety and vitality of the web's blossoming literary """"scene",desconocido,publish,"levi asher, christian crumlish"
Team Foundation Server 2008 In Action,1933988592,344.0,2008-12-01 08:00:00+00:00,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/azher.jpg,No description available,"In complex software projects, managing the development process can be as critical to success as writing the code itself. A project may involve dozens of developers, managers, architects, testers, and customers, hundreds of builds, and thousands of opportunities to get off-track. To keep tabs on the people, tasks, and components of a medium- to large-scale project, most teams use a development system that allows for easy monitoring, follow-up, and accountability.    Microsoft Team Foundation Server 2008 (TFS), the server component of Microsoft's Visual Studio Team System (VSTS), provides a powerful collaborative platform for software-development teams. The product offers an integrated toolset for tracking work items, creating test cases, managing source code, generating builds, constructing database schemas, and so on. Because in software development one size does not fit all, TFS provides process customization, project management, and reporting capabilities to build solutions around your requirements.    Team Foundation Server 2008 in Action is a hands-on guide to Team Foundation Server 2008. Written for developers with a good handle on TFS basics, this book shows you how to solve real-life problems. It's not a repetition of Microsoft's product documentation. Team Foundation Server 2008 in Action is a practitioner's handbook for how to work with TFS under common constraints. This book walks you through real-life software engineering problems based on hundreds of hours of TFS experience.    You'll benefit from expert author Jamil Azher's extensive interactions with members of Microsoft's TFS team and MVPs, survey feedback from the author's blog, and interviews with organizations and user groups using TFS. Instead of just offering a high-level overview, the book provides detailed solutions for solving common   and not-so-common   problems using TFS. It discusses the strengths as well as weaknesses of TFS, and suggests appropriate problem resolution steps, workarounds, or custom solutions.",PUBLISH,jamil azher,microsoft .net
Brownfield Application Development In .Net,1933988711,550.0,2010-04-16 07:00:00+00:00,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/baley.jpg,"Brownfield Application Development in .Net shows you how to approach legacy applications with the state-of-the-art concepts, patterns, and tools you've learned to apply to new projects. Using an existing application as an example, this book guides you in applying the techniques and best practices you need to make it more maintainable and receptive to change.","""It's easy to get excited about building a new software project from scratch. So-called """"greenfield"""" projects often involve learning new technology and the opportunity for experimentation. Working on established software projects may seem less glamorous.    Most software developers have inherited a monolithic application where the day-to-day tasks involve maintenance",desconocido,or even cleaning up the mess another programmer left behind. these legacy or brownfield projects often have tightly coupled components,low cohesion
Mongodb In Action,1935182870,0.0,2011-12-12 08:00:00+00:00,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/banker.jpg,"MongoDB In Action is a comprehensive guide to MongoDB for application developers. The book begins by explaining what makes MongoDB unique and describing its ideal use cases. A series of tutorials designed for MongoDB mastery then leads into detailed examples for leveraging MongoDB in e-commerce, social networking, analytics, and other common applications.","""MongoDB is a document-oriented database that's highly scalable and delivers very high-performance, especially with massive data sets that need to be spread across multiple servers. It blends the things you expect with any database   like indexing, querying, and high availability   with powerful new features like easy horizontal scaling (""""auto-sharding"""")",desconocido,and a flexible document data model to support dynamic schemas. mongodb in action is a comprehensive guide to mongodb for application developers. the book begins by explaining what makes mongodb unique and describing its ideal use cases. a series of tutorials designed for mongodb mastery then leads into detailed examples for leveraging mongodb in e-commerce,social networking
Distributed Application Development With Powerbuilder 6.0,1884777686,504.0,1998-06-01 07:00:00+00:00,No thumbnail available,No description available,"Distributed Application Development with PowerBuilder 6.0 is a vital source for the PowerBuilder programmer; it provides the sort of detailed coverage of Distributed PowerBuilder that you can find nowwhere else.    The book opens with a discussion of distributed computing in general, as well as its design principles and technologies. Then Distributed PowerBuilder is examined in detail. By building a simple application step by step, the author discusses all of the concepts and components needed for building a PowerBuilder application and shows how to make the application available over a network.    Finally, the author explores how PowerBuilder can be used in distributed solutions both with and without using DPB.    Distributed Application Development with PowerBuilder 6.0 is for any PowerBuilder developer looking for information on distributed computing options with the PowerBuilder environment. IS managers, system architects, and developers using many different technologies can learn how PowerBuilder can be used as all or part of the solution for building distributed applications.    The main topic of this book is Distributed PowerBuilder (DPB). It covers the basics of building a DPB application and walks through each new feature with examples including the Shared object, DataWindow synchronization, Server Push and Web.PB. It also explains distributed computing technologies and design principles so that your application can be built to handle the stresses of a distributed environment.  ",PUBLISH,michael j. barlotta,powerbuilder
Jaguar Development With Powerbuilder 7,1884777864,550.0,1999-08-01 07:00:00+00:00,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/barlotta2.jpg,Jaguar Development with PowerBuilder 7 is the definitive guide to distributed application development with PowerBuilder. It is the only book dedicated to preparing PowerBuilder developers for Jaguar applications and has been approved by Sybase engineers and product specialists who build the tools described in the book.,"Jaguar Development with PowerBuilder 7 is the definitive guide to distributed application development with PowerBuilder. It is the only book dedicated to preparing PowerBuilder developers for Jaguar applications and has been approved by Sybase engineers and product specialists who build the tools described in the book.    Jaguar Development with PowerBuilder 7 focuses on getting you up to speed on Jaguar and PowerBuilder, and it is packed with code samples to guide you every step of the way. It covers each step involved in application development, from setting up the development environment to deploying a production application.    Even a PowerBuilder developer with no experience in distributed technologies or Jaguar CTS will learn what it takes to build an application. Jaguar Development with PowerBuilder 7 covers:    Developing Component-centric Applications  Building Jaguar CTS Components/Clients  CORBA  Adaptive SQL Anywhere  Adaptive Server Enterprise  and lots more!",PUBLISH,michael barlotta,"powerbuilder, client-server"
Taming Jaguar,1884777686,362.0,2000-07-01 07:00:00+00:00,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/barlotta3.jpg,No description available,"Taming Jaguar is part of the PowerBuilder Developer's series, which includes Distributed Application Development with PowerBuilder 6 and Jaguar Development with PowerBuilder 7.    An application server is the heart of your enterprise computing architecture, centralizing your web content, business logic, and access to your data and legacy applications. Sybase's application server, Jaguar CTS, delivers performance, scalability, and flexibility running CORBA , COM, Java/EJB, C++, and PowerBuilder components.    If you are looking to adopt Jaguar in your enterprise, look no further. Taming Jaguar shows you how to solve the real-world problems of installing, trouble-shooting, designing, developing, and maintaining a Jaguar application. Topical chapters are organized in a Q & A format making it easy for you to quickly find the solution to your problem. They also provide foundational and background information as well as detailed technical how-tos.    Although designed so you can find your problems easily, this book is meant to be read cover-to-cover with each chapter discussing its topic exhaustively.    What's inside:    J2EE development  Java Servlets  Jaguar administration & code balancing  EJBs  Web development with PowerDynamo  Advanced component design ",PUBLISH,"michael j. barlotta, jason r. weiss",powerbuilder
3D User Interfaces With Java 3D,1884777902,520.0,2000-08-01 07:00:00+00:00,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/barrilleaux.jpg,No description available,"""3D User Interfaces with Java 3D is a practical guide for providing next-generation applications with 3D user interfaces for manipulation of in-scene objects. Emphasis is on standalone and web-based business applications, such as for online sales and mass customization, but much of what this book offers has broad applicability to 3D user interfaces in other pursuits such as scientific visualization and gaming.  This book provides an extensive conceptual framework for 3D user interface techniques, and an in-depth introduction to user interface support in the Java 3D API, including such topics as picking, collision, and drag-and-drop. Many of the techniques are demonstrated in a Java 3D software framework included with the book, which also provides developers with many general-purpose building blocks for constructing their own user interfaces.    Applications and their use of 3D are approached realistically. The book is geared towards sophisticated user interfaces for the """"everyday user"""" who doesn't have a lot of time to learn another application--much less a complicated one--and an everyday computer system without exotic devices like head mounted displays and data gloves. Perhaps the best description of this book is: """"A roadmap from Java 3D to 'Swing 3D'.""""""",PUBLISH,jon barrilleaux,"java, computer graphics"
Hibernate In Action,193239415X,400.0,2004-08-01 07:00:00+00:00,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/bauer.jpg,"""""""2005 Best Java Book!"""" -- Java Developer's Journal""","Hibernate practically exploded on the Java scene. Why is this open-source tool so popular  Because it automates a tedious task: persisting your Java objects to a relational database. The inevitable mismatch between your object-oriented code and the relational database requires you to write code that maps one to the other. This code is often complex, tedious and costly to develop. Hibernate does the mapping for you.    Not only that, Hibernate makes it easy. Positioned as a layer between your application and your database, Hibernate takes care of loading and saving of objects. Hibernate applications are cheaper, more portable, and more resilient to change. And they perform better than anything you are likely to develop yourself.    Hibernate in Action carefully explains the concepts you need, then gets you going. It builds on a single example to show you how to use Hibernate in practice, how to deal with concurrency and transactions, how to efficiently retrieve objects and use caching.    The authors created Hibernate and they field questions from the Hibernate community every day - they know how to make Hibernate sing. Knowledge and insight seep out of every pore of this book.",PUBLISH,"christian bauer, gavin king",java
Hibernate In Action (Chinese Edition),No ISBN,400.0,1999-06-01 07:00:00+00:00,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/bauer-cn.jpg,No description available,No description available,PUBLISH,"christian bauer, gavin king",java
Java Persistence With Hibernate,1932394885,880.0,2006-11-01 08:00:00+00:00,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/bauer2.jpg,"""""""...this book is the ultimate solution. If you are going to use Hibernate in your application", you have no other choice,desconocido,"persistence -- the ability of data to outlive an instance of a program -- is central to modern applications. hibernate, the most popular java persistence tool, provides automatic and transparent object/relational mapping so it's a snap to work with sql databases in java applications. hibernate conforms to the new ejb 3.0 and java persistence 1.0 standards. java persistence with hibernate explores hibernate by developing an application that ties together hundreds of individual examples. you'll immediately dig into the rich programming model of hibernate 3.2 and java persistence, working through queries, fetching strategies, caching, transactions, conversations, and more. you'll also appreciate the well-illustrated discussion of best practices in database design, object/relational mapping, and optimization techniques. in this revised edition of manning's bestselling hibernate in action, authors christian bauer and gavin king -- the founder of the hibernate project -- cover hibernate 3.2 in detail along with the ejb 3.0 and java persistence 1.0 standards.",publish
Jstl In Action,1930110529,480.0,2002-07-01 07:00:00+00:00,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/bayern.jpg,No description available,"JSTL is an important simplification of the Java web platform. With JSTL, page authors can now write dynamic pages using standard HTML-like tags and an easy-to-learn expression language. JSTL is a standard from the Java Community Process, and its expression language will become part of JSP 2.0.    JSTL in Action shows you how to write rich, dynamic web pages without programming. From simple loops to tricky XML processing, every feature of JSTL is covered and exercised in numerous useful examples. Whether you are a novice page author or an experienced Java programmer, this book shows you easy ways to create powerful web sites.    To help readers who don't already have a JSP container run the examples in the book, there's a free companion download here. This bundle contains a ready-to-run JSP container, a JSTL implementation, and all the book's examples.",PUBLISH,shawn bayern,internet
Ibatis In Action,1932394826,384.0,2007-01-01 08:00:00+00:00,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/begin.jpg,"   Gets new users going and gives experienced users in-depth coverage of advanced features.       Jeff Cunningham, The Weather Channel Interactive","Unlike some complex and invasive persistence solutions, iBATIS keeps O/RM clean and simple. It is an elegant persistence framework that maps classes to SQL statements and keeps the learning curve flat. The iBATIS approach makes apps easy to code, test, and deploy. You write regular SQL and iBATIS gives you standard objects for persistence and retrieval. There   s no need to change existing database schemas   iBATIS is tolerant of legacy databases (even badly designed ones).    iBATIS in Action is a comprehensive tutorial on the framework and an introduction to the iBATIS philosophy. Clinton Begin and coauthors lead you through the core features, including configuration, statements, and transactions. Because you   ll need more than the basics, it explores sophisticated topics like Dynamic SQL and data layer abstraction. You   ll also learn a useful skill: how to extend iBATIS itself. A complete, detailed example shows you how to put iBATIS to work. Topics are clearly organized and easily accessible for reference.",PUBLISH,"clinton begin, brandon goodin, larry meadors",web development
Designing Hard Software,133046192,350.0,1997-02-01 08:00:00+00:00,No thumbnail available,"""""""This book is well written ... The author does not fear to be controversial. In doing so"," he writes a coherent book."""" --Dr. Frank J. van der Linden",desconocido,"""have you ever heard, """"i can't define a good design but i know one when i see it"""" designing hard software discusses ways to develop software system designs that have the same tangibility and visibility as designs for hard objects like buildings or computer hardware. it emphasizes steps called """"essential tasks"""" which result in software specifications that show how each requirement",including robustness and extensibility
Hibernate Search In Action,1933988649,488.0,2008-12-21 08:00:00+00:00,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/bernard.jpg,"""""""A great resource for true database independent full text search."""" --Aaron Walker"," base2Services""",desconocido,publish,"emmanuel bernard, john griffin"
Jquery In Action,1933988355,376.0,2008-01-01 08:00:00+00:00,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/bibeault.jpg,"""""""The best-thought-out and researched piece of literature on the jQuery library."""" --From the forward by John Resig"," Creator of jQuery""",desconocido,publish,"bear bibeault, yehuda katz"
"Jquery In Action, Second Edition",1935182323,488.0,2010-06-01 07:00:00+00:00,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/bibeault2.jpg,"""jQuery in Action, Second Edition is a fast-paced introduction to jQuery that will take your JavaScript programming to the next level. An in-depth rewrite of the bestselling first edition, this edition provides deep and practical coverage of the latest jQuery and jQuery UI releases. The book's unique """"lab pages"""" anchor the explanation of each new concept in a practical example. You'll learn how to traverse HTML documents", handle events,desconocido,"and add ajax to your web pages. this comprehensive guide also teaches you how jquery interacts with other tools and frameworks and how to build jquery plugins. ""","""a really good web development framework anticipates your needs. jquery does more it practically reads your mind. developers fall in love with this javascript library the moment they see 20 lines of code reduced to three. jquery is concise and readable. its unique """"chaining"""" model lets you perform multiple operations on a page element in succession. and with version 1.4"
Building Secure And Reliable Network Applications,1884777295,591.0,1996-01-01 08:00:00+00:00,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/birman.jpg,"""""""... tackles the difficult problem of building reliable distributed computing systems in a way that not only presents the principles but also describes proven practical solutions."""" --John Warne"," BNR Europe""",desconocido,air traffic control systems,and telephone networks becoming more networked
